job_title,skill
Data Scientist,Python
Data Scientist,Machine Learning
Data Scientist,R
Data Scientist,Data Science
Data Scientist,Data Mining
Data Scientist,Hadoop
Data Scientist,Big Data
Data Scientist,Spark
Data Scientist,SAS
Data Scientist,Java
Machine Learning Engineer,Machine Learning
Machine Learning Engineer,Python
Machine Learning Engineer,"C, C++"
Machine Learning Engineer,Java
Machine Learning Engineer,Artificial Intelligence
Machine Learning Engineer,NLP
Machine Learning Engineer,Spark
Machine Learning Engineer,TensorFlow
Machine Learning Engineer,R
Machine Learning Engineer,Hadoop
Software Engineer,Java
Software Engineer,Python
Software Engineer,"C, C++"
Software Engineer,Javascript
Software Engineer,Agile
Software Engineer,.net
Software Engineer,HTML
Software Engineer,AWS
Software Engineer,Git
Software Engineer,Machine Learning
Data Analyst,Python
Data Analyst,Data Warehouse
Data Analyst,Tableau
Data Analyst,R
Data Analyst,SQL
Data Analyst,Business Intelligence
Data Analyst,SAS
Data Analyst,Data Mining
Data Analyst,Big Data
Data Analyst,Machine Learning
Data Engineer,Python
Data Engineer,Data Warehouse
Data Engineer,Hadoop
Data Engineer,Big Data
Data Engineer,Java
Data Engineer,Spark
Data Engineer,AWS
Data Engineer,Machine Learning
Data Engineer,Scala
Data Engineer,Agile
Business Intelligence Analyst,Business Intelligence
Business Intelligence Analyst,Tableau
Business Intelligence Analyst,Data Warehouse
Business Intelligence Analyst,SQL
Business Intelligence Analyst,Python
Business Intelligence Analyst,R
Business Intelligence Analyst,SAS
Business Intelligence Analyst,Oracle
Business Intelligence Analyst,Data Mining
Business Intelligence Analyst,Project Management
